variant,outcome,focal_z,predicted_reactivity_db,ci95_pointwise_low,ci95_pointwise_high,other_scale_z_held,male_fraction_held,partnered_fraction_held
primary_posterior_roi_spline,STAI_trait,1.1397639,6.406482355,5.533142549,7.279822161,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,1.157954279,6.427246638,5.556750366,7.29774291,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,1.176144659,6.448192256,5.58085991,7.315524602,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,1.194335039,6.469316791,5.605445038,7.333188544,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,1.212525418,6.490617825,5.630478042,7.350757608,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,1.230715798,6.512092941,5.655929619,7.368256263,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,1.248906177,6.53373972,5.681768835,7.385710605,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,1.267096557,6.555555746,5.707963098,7.403148393,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,1.285286936,6.577538599,5.734478123,7.420599076,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,1.303477316,6.599685863,5.761277906,7.43809382,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,1.321667696,6.621995119,5.788324708,7.455665531,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,1.339858075,6.64446395,5.815579037,7.473348864,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,1.358048455,6.667089938,5.842999653,7.491180224,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,1.376238834,6.689870666,5.870543578,7.509197753,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,1.394429214,6.712803714,5.898166134,7.527441294,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,1.412619593,6.735886666,5.925820993,7.545952339,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,1.430809973,6.759117104,5.953460262,7.564773946,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,1.449000353,6.782492609,5.981034592,7.583950626,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,1.467190732,6.806010765,6.008493326,7.603528204,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,1.485381112,6.829669153,6.035784676,7.62355363,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,1.503571491,6.853465356,6.062855949,7.644074763,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,1.521761871,6.877396955,6.089653808,7.665140103,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,1.53995225,6.901461534,6.116124581,7.686798487,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,1.55814263,6.925656673,6.142214607,7.70909874,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,1.57633301,6.949979956,6.167870624,7.732089288,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,1.594523389,6.974428964,6.19304019,7.755817738,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,1.612713769,6.99900128,6.217672135,7.780330426,-1.264195561e-16,0.700729927,0.6058394161
